"TAXA_COARSE","STAGE_NAME","SEX_NAME","N","IND_WT_MG_mean","IND_WT_MG_sd"
"Acartia spp.","ADULT","FEMALE",173,0.0225329704647307,0.0240534854472963
"Acartia spp.","ADULT","MALE",110,0.0156198661276714,0.0143555126930462
"Acartia spp.","C - 1 (COPEPODITE I)","",82,0.00180586001125097,0.00151878843169118
"Acartia spp.","C - 2 (COPEPODITE II)","",72,0.00327886447964252,0.00269432695662755
"Acartia spp.","C - 3 (COPEPODITE III)","",84,0.00486371791948282,0.00357863598451802
"Acartia spp.","C - 4 (COPEPODITE IV)","",69,0.0101958421896956,0.00787647734106078
"Acartia spp.","C - 5 (COPEPODITE V)","",84,0.0171115046826719,0.011060300169044
"Aglantha digitale","","",308,2.72891687470978,9.39054301276747
"Amphipoda","","",342,4.06758068102639,13.6613074919989
"Anomura","MEGALOPAE","",4,2.42362850620508,1.6862547832167
"Anomura","ZOEA","",81,1.25170250145326,2.34390560800842
"Appendicularia_large","","",193,0.160569511440531,0.222812061209366
"Appendicularia_small","","",424,0.0712197164288648,0.314649955634377
"Brachyura","ZOEA","",68,0.663802641524472,1.03076314626355
"Calanus marshallae/glacialis","ADULT","FEMALE",212,0.762430252249089,0.690511239965622
"Calanus marshallae/glacialis","ADULT","MALE",140,0.935921487982169,0.576996869780104
"Calanus marshallae/glacialis","C - 1 (COPEPODITE I)","",74,0.00960118233300817,0.00898037649144344
"Calanus marshallae/glacialis","C - 2 (COPEPODITE II)","",76,0.0272267820772333,0.0230510540192467
"Calanus marshallae/glacialis","C - 3 (COPEPODITE III)","",149,0.0845845315009028,0.0764879007321921
"Calanus marshallae/glacialis","C - 4 (COPEPODITE IV)","",215,0.146474910845121,0.162794547694747
"Calanus marshallae/glacialis","C - 5 (COPEPODITE V)","",275,0.250973667673641,0.352838572362297
"Calanus pacificus","ADULT","FEMALE",119,0.264393824216125,0.228707788963187
"Calanus pacificus","ADULT","MALE",113,0.290087732010256,0.203343762472066
"Calanus pacificus","C - 1 (COPEPODITE I)","",43,0.00693142316936262,0.0054626000621829
"Calanus pacificus","C - 2 (COPEPODITE II)","",41,0.0146206040095028,0.0130167088933192
"Calanus pacificus","C - 3 (COPEPODITE III)","",56,0.0338490025525879,0.0292123109679637
"Calanus pacificus","C - 4 (COPEPODITE IV)","",78,0.0741475900071298,0.0644281676521244
"Calanus pacificus","C - 5 (COPEPODITE V)","",170,0.149662431720162,0.15973201419715
"Caridea","JUVENILE","",26,87.6407495672057,181.710050473834
"Caridea","ZOEA","",258,2.94780909187475,11.0721889203355
"Centropages abdominalis","ADULT","FEMALE",84,0.127898109374412,0.0916334756473543
"Centropages abdominalis","ADULT","MALE",46,0.0900189959673487,0.0538804594102347
"Centropages abdominalis","C - 1 (COPEPODITE I)","",12,0.00434687456851827,0.00390546155188185
"Centropages abdominalis","C - 2 (COPEPODITE II)","",13,0.00806536944955749,0.00353466332384932
"Centropages abdominalis","C - 3 (COPEPODITE III)","",13,0.0152691897616732,0.00824374908081526
"Centropages abdominalis","C - 4 (COPEPODITE IV)","",24,0.0402167904543266,0.0159520175259042
"Centropages abdominalis","C - 5 (COPEPODITE V)","",29,0.0851699748820087,0.0501936276280005
