Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,104257,Acartia longiremis,AF,,,,0.5,,,,0.04
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,10194,Actinopterygii,Egg,,,,0.01563,,,,0.23
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,10194,Actinopterygii,Larvae,,,,0.07031,,,,0.19
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,117849,Aglantha digitale, ,,,,0.01563,,,,0.13
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,123080,Asteroidea,Bipinnaria,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,AF,,,,0.5,,,,0.84
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,AM,,,,0.02344,,,,0.04
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,C2,,,,0.5,,,,0.04
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,C3,,,,7,,,,1.21
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,C4,,,,43,,,,22.42
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196770,Calanus marshallae,C5,,,,21.5,,,,24.61
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196771,Calanus pacificus,C5,,,,1.5,,,,0.82
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,349800,Candacia columbiae,AM,,,,0.00781,,,,0.01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196774,Centropages abdominalis,AF,,,,0.125,,,,0.03
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196774,Centropages abdominalis,AM,,,,0.5,,,,0.06
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1082,Cirripedia,Cypris,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1082,Cirripedia,Nauplii,,,,2,,,,0.15
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,139178,Clione limacina, ,,,,0.16406,,,,0.36
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,106782,Crangonidae,Zoea,,,,0.01563,,,,0.02
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1248,Ctenophora, ,,,,0.00781,,,,0.01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,428630,Cyphocaris challengeri, ,,,,0.01563,,,,0.09
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1806,Echinodermata,Larvae,,,,0.5,,,,0.01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196775,Eucalanus bungii,AF,,,,0.00781,,,,0.05
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196775,Eucalanus bungii,C2,,,,0.0625,,,,0.01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196775,Eucalanus bungii,C3,,,,1.5,,,,0.29
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196775,Eucalanus bungii,C4,,,,0.00781,,,,0.01
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,105416,Eukrohnia hamata, ,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1128,Euphausiacea,Calytopsis,,,,3.9375,,,,0.47
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1128,Euphausiacea,Furcilia,,,,4.6875,,,,1.54
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,117108,Halocypridina, ,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,106777,Hippolytidae,Zoea,,,,0.15625,,,,0.14
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,1131,Isopoda,Cryptoniscus,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,816154,Leptothecatae, ,,,,0.00781,,,,0
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,140223,Limacina helicina, ,,,,5.65625,,,,2.66
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196784,Metridia pacifica,AF,,,,7,,,,5.97
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,196784,Metridia pacifica,C5,,,,10,,,,2.57
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,104470,Neocalanus cristatus,C4,,,,0.0625,,,,0.28
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,104470,Neocalanus cristatus,C5,,,,0.11719,,,,1.49
SKQ201810S,Multinet,0.5,Oblique,500,2018-05-04T05:44:08-0800,2018-05-04T06:21:30-0800,-149.4880,59.8542,272,GAK01,2,100.3,59.6,353708,Neocalanus flemingeri,AM,,,,0.00781,,,,0.02
