Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Latitude_[decimal_degrees_north],Longitude_[decimal_degrees_east],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,1100,Calanoida,Nauplius,47,0.00097656,8.203502722,5866.777276,203.1,19,1.2,7.036656841,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,1101,Cyclopoida,Nauplius,6,0.00097656,8.203502722,748.9502905,96.1,10.2,0.14,0.108393942,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104108,Acartia,C1,2,0.0625,8.203502722,3.900772765,324.6,16.8,2.73,0.010633638,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104108,Acartia,C2,2,0.0625,8.203502722,3.900772765,392.4,2.4,4.56,0.017776193,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104108,Acartia,C3,4,0.0625,8.203502722,7.801545531,518,5.2,10.26,0.080082096,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104108,Acartia,C4,6,0.0625,8.203502722,11.7023183,606.3,6,16.26,0.190268452,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104257,Acartia longiremis,C5,1,0.0625,8.203502722,1.950386383,624.8,0,17.6,0.034327686,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,10,0.0625,8.203502722,19.50386383,903,7.9,52.1,1.016063646,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,21,0.0625,8.203502722,40.95811404,799.8,4.5,36.26,1.485205355,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104112,Aetideus,C4,1,0.5,8.203502722,0.243798298,1020.8,0,99.31,0.02421089,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104112,Aetideus,C5,1,0.5,8.203502722,0.243798298,1202.7,0,166.56,0.040606798,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104275,Aetideus armatus,C6 AF,2,1,8.203502722,0.243798298,1450.8,0.3,300.92,0.073364338,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196770,Calanus marshallae,C2,7,0.25,8.203502722,3.41317617,1034.6,2.9,67.24,0.229489558,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196770,Calanus marshallae,C3,27,0.25,8.203502722,13.16510808,1466.9,5,202.21,2.662120693,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196770,Calanus marshallae,C4,20,0.25,8.203502722,9.751931914,2006.7,4,538.72,5.253525328,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196770,Calanus marshallae,C5,16,0.25,8.203502722,7.801545531,2697.1,5.2,1367,10.66474726,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196770,Calanus marshallae,C6 AF,12,0.5,8.203502722,2.925579574,3002.5,3.3,1904.45,5.571614223,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196771,Calanus pacificus,C5,1,1,8.203502722,0.121899149,1856,0,429.37,0.052339655,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196771,Calanus pacificus,C6 AF,1,1,8.203502722,0.121899149,2073.7,0,614.83,0.074947241,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104470,Neocalanus cristatus,C5,1,1,8.203502722,0.121899149,6136.3,0,12672.07,1.544714348,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196772,Neocalanus plumchrus,C5,5,1,8.203502722,0.609495745,3571.5,3.5,2659.63,1.621031161,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196774,Centropages abdominalis,C6 AF,7,0.125,8.203502722,6.82635234,1181.3,7.6,186.97,1.276339667,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,196774,Centropages abdominalis,C6 AM,4,0.125,8.203502722,3.900772765,1054.1,5.5,129.78,0.506259479,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104513,Microcalanus pygmaeus,C3,1,0.0625,8.203502722,1.950386383,349.6,0,2.27,0.004428737,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104513,Microcalanus pygmaeus,C5,2,0.0625,8.203502722,3.900772765,477.2,8.9,6.15,0.023988629,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104513,Microcalanus pygmaeus,C6 AF,1,0.0625,8.203502722,1.950386383,534.1,0,8.66,0.016892451,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104165,Pseudocalanus,C2,2,0.00195313,8.203502722,124.824416,468.3,7.5,5.77,0.720617187,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104165,Pseudocalanus,C3,8,0.00195313,8.203502722,499.297664,540,3.9,9.01,4.499003837,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104165,Pseudocalanus,C4,23,0.00195313,8.203502722,1435.480784,652.2,4.5,16.39,23.52229782,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104165,Pseudocalanus,C5,27,0.00195313,8.203502722,1685.129616,795,5.9,30.78,51.86036113,,,,
SKQ201915,QuadNet,0.25,Vertical,150,2019-07-13T08:02:20-0800,2019-07-13T08:07:43-0800,59.8460,-149.4657,276,GAK01,0,100,0,104165,Pseudocalanus,C6 AM,12,0.0078125,8.203502722,187.2370927,707,8.1,21.42,4.011036289,,,,
