Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104075,Aetideidae,C3,1,0.125,147.6,0.054200542,1057.6,0,111.05,0.006018827
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,1,0.125,147.6,0.054200542,1419.2,0,280.73,0.015215863
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104290,Chiridius gracilis,C4,1,0.25,147.6,0.027100271,1283.8,0,0,0
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104290,Chiridius gracilis,C5,1,0.25,147.6,0.027100271,1610,0,0,0
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,346494,Gaetanus simplex,C6 AF,1,0.25,147.6,0.027100271,2403.7,0,1329.31,0.036024792
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,Calanus marshallae,C4,8,0.125,147.6,0.433604336,2023.3,6.5,556.75,0.241407343
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,Calanus marshallae,C5,30,0.125,147.6,1.62601626,2263.3,6,791.09,1.286317842
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,Calanus marshallae,C6 AF,2,0.125,147.6,0.108401084,2658.2,6.4,1303.93,0.14134755
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196770,Calanus marshallae,C6 AM,20,0.125,147.6,1.08401084,2497.6,4,1070.43,1.16035891
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104470,Neocalanus cristatus,C3,2,0.25,147.6,0.054200542,2735.8,3.8,1205.19,0.065321759
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104470,Neocalanus cristatus,C4,20,0.25,147.6,0.54200542,4189.4,4.5,4187.85,2.269839939
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,104470,Neocalanus cristatus,C5,5,0.25,147.6,0.135501355,6034.2,3.6,12102.23,1.639869236
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,353708,Neocalanus flemingeri,C4,8,0.25,147.6,0.216802168,2446,2.7,929.75,0.201572684
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,353708,Neocalanus flemingeri,C5,40,0.25,147.6,1.08401084,2870.4,7.1,1574.81,1.707108422
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,353708,Neocalanus flemingeri,C6 AF,2,0.25,147.6,0.054200542,3125.4,0.3,2033.65,0.110224732
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196772,Neocalanus plumchrus,C4,3,0.25,147.6,0.081300813,2785.1,4.5,1259.39,0.102389624
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196772,Neocalanus plumchrus,C5,13,0.25,147.6,0.352303523,3450.6,6.4,2419.07,0.852247314
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196775,Eucalanus bungii,C5,2,0.25,147.6,0.054200542,4629.7,1.4,2482.86,0.134572443
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196775,Eucalanus bungii,C6 AF,4,0.25,147.6,0.108401084,5324.5,12.5,3983.66,0.431832603
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196775,Eucalanus bungii,C6 AM,2,0.25,147.6,0.054200542,4279.5,4.3,1948.81,0.105626518
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196779,Paraeuchaeta elongata,C3,1,0.25,147.6,0.027100271,1730.8,0,354.22,0.009599383
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196779,Paraeuchaeta elongata,C5,1,0.25,147.6,0.027100271,3639.9,0,3947.01,0.106964995
TGX201904,Multinet,0.5,Oblique,500,2019-05-01T05:10:56-0800,2019-05-01T05:43:55-0800,-149.4564,59.8299,273,GAK01,1,200,100,196783,Metridia okhotensis,C5,9,0.0625,147.6,0.975609756,1774.8,3.7,577.4,0.56331628
