Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Latitude_[decimal_degrees_north],Longitude_[decimal_degrees_east],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,1100,Calanoida,Nauplius,39,0.00195313,8.63187,2313.28206,315,20,4.02,9.287872068,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,1101,Cyclopoida,Nauplius,1,0.00195313,8.63187,59.31492461,173.8,0,0.72,0.042566044,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,1100,Calanoida,Nauplius,1,0.125,8.63187,0.926798017,961.6,0,77.94,0.072233607,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104108,Acartia,C1,19,0.015625,8.63187,140.8732986,400.1,4.2,4.84,0.681898615,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104108,Acartia,C2,10,0.015625,8.63187,74.14384137,466.9,3.5,7.57,0.561137727,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104108,Acartia,C3,6,0.015625,8.63187,44.48630482,576.9,4.3,14.02,0.623561553,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104108,Acartia,C4,6,0.015625,8.63187,44.48630482,659.7,7.7,20.89,0.929252273,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,12,0.03125,8.63187,44.48630482,931.8,10.2,57.7,2.567044019,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,19,0.03125,8.63187,70.4366493,849.6,6.8,43.49,3.063551846,,,,
TGX201904,QuadNet,0.25,Vertical,150,2019-05-01T08:17:08-0800,2019-05-01T08:22:45-0800,59.8462,-149.4878,270,GAK01,0,100,0,196770,Calanus marshallae,C1,20,0.0625,8.63187,37.07192068,804.5,3.7,30.6,1.134260504,,,,
