Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104075,Aetideidae,C6 AF,1,0.25,367,0.010899183,1919.6,0,727.57,0.007929955
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104075,Aetideidae,C6 AM,1,0.25,367,0.010899183,1326.1,0,226.66,0.0024704
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104112,Aetideus,C5,1,0.125,367,0.021798365,1117.3,0,132.02,0.002877886
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,8,0.125,367,0.174386921,1394,5.8,267.88,0.046715108
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104115,Bradyidius,C2,1,0.0625,367,0.04359673,1233.5,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104115,Bradyidius,C3,6,0.0625,367,0.261580381,1261.1,6.5,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104115,Bradyidius,C4,4,0.0625,367,0.174386921,1379.8,10,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104283,Bradyidius similis,C5,1,0.125,367,0.021798365,1428,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104117,Chiridius,C6 AM,1,0.25,367,0.010899183,1735,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104290,Chiridius gracilis,C5,5,0.125,367,0.108991826,1648,2.5,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104290,Chiridius gracilis,C6 AF,8,0.125,367,0.174386921,2016.2,3.8,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104121,Gaetanus,C5,1,0.125,367,0.021798365,1777.6,0,454.94,0.009916916
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196770,Calanus marshallae,C4,3,0.015625,367,0.523160763,2059.4,1.4,581.69,0.304317801
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196770,Calanus marshallae,C5,63,0.015625,367,10.98637602,2633.4,6.1,1272.89,13.98443715
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196770,Calanus marshallae,C6 AF,3,0.015625,367,0.523160763,2835.2,7.9,1607.03,0.840737206
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196770,Calanus marshallae,C6 AM,1,0.015625,367,0.174386921,2749.3,0,1439.54,0.251037785
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196771,Calanus pacificus,C5,2,0.125,367,0.04359673,1795.3,3.5,386.44,0.016847557
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104470,Neocalanus cristatus,C3,1,0.25,367,0.010899183,2313.4,0,737.74,0.008040732
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104470,Neocalanus cristatus,C4,2,0.25,367,0.021798365,4091.5,3.2,3893.52,0.084872414
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104470,Neocalanus cristatus,C5,23,0.25,367,0.250681199,6308.2,3.7,13786.44,3.45600033
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,353708,Neocalanus flemingeri,C5,6,0.0625,367,0.261580381,3581.8,4.1,3162.1,0.82714253
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,353708,Neocalanus flemingeri,C6 AF,45,0.0625,367,1.961852861,3818.1,6.9,3924.42,7.699136548
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,353708,Neocalanus flemingeri,C6 AM,3,0.0625,367,0.130790191,2901,2.8,1605.02,0.209920443
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196772,Neocalanus plumchrus,C5,82,0.0625,367,3.57493188,3778.6,4.9,3163.98,11.31100173
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196772,Neocalanus plumchrus,C6 AF,2,0.0625,367,0.08719346,3625.7,6.2,2791.3,0.243382759
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196772,Neocalanus plumchrus,C6 AM,1,0.0625,367,0.04359673,2971.3,0,1524.04,0.066443216
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196774,Centropages abdominalis,C6 AF,1,0.25,367,0.010899183,1139.1,0,164.18,0.00178943
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196775,Eucalanus bungii,C3,2,0.0078125,367,0.697547684,2567.2,0.3,395.84,0.276113994
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196775,Eucalanus bungii,C4,45,0.0078125,367,15.69482289,3400.1,6,960.45,15.0740609
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196775,Eucalanus bungii,C5,10,0.0078125,367,3.48773842,4534.3,6.2,2353.31,8.207737738
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196775,Eucalanus bungii,C6 AF,2,0.0078125,367,0.697547684,6103.3,9.5,5954.47,4.153524693
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196775,Eucalanus bungii,C6 AF,8,0.125,367,0.174386921,5805.5,7.5,5100.77,0.889507557
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196779,Paraeuchaeta elongata,C3,1,0.25,367,0.010899183,1748.8,0,366.32,0.003992633
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196779,Paraeuchaeta elongata,C4,1,0.25,367,0.010899183,2558.2,0,1257.69,0.013707796
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196779,Paraeuchaeta elongata,C6 AF,2,0.25,367,0.021798365,4335.9,0.5,6961.28,0.151744593
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196779,Paraeuchaeta elongata,C6 AM,2,0.25,367,0.021798365,3986.8,1.3,5304.08,0.115620343
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196783,Metridia okhotensis,C4,9,0.125,367,0.196185286,1312.5,4.7,225.79,0.044297339
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196783,Metridia okhotensis,C5,22,0.125,367,0.479564033,1739.1,6.8,547.8,0.262707444
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196784,Metridia pacifica,C5,20,0.0078125,367,6.975476839,1332,6.2,215.08,1.500292862
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196784,Metridia pacifica,C6 AF,16,0.0078125,367,5.580381471,1826.7,12.3,586.55,3.273159039
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,196784,Metridia pacifica,C6 AM,50,0.0078125,367,17.4386921,1197.7,5.2,154.59,2.69585561
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,345251,Pseudoamallothrix ovata,C5,1,0.25,367,0.010899183,1231.5,0,-7.68,-8.36763E-05
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,104784,Racovitzanus antarcticus,C5,1,0.25,367,0.010899183,1571.8,0,-7.68,-8.36763E-05
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,349800,Candacia columbiae,C4,2,0.125,367,0.04359673,1468.9,0,317.43,0.013838854
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,349800,Candacia columbiae,C5,2,0.125,367,0.04359673,1922.4,1.5,705.54,0.030759082
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,349800,Candacia columbiae,C6 AF,4,0.125,367,0.08719346,2886.7,8,2389.2,0.208322537
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,349800,Candacia columbiae,C6 AM,3,0.125,367,0.065395095,2679.8,8.7,1917.94,0.125424084
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,105440,Parasagitta elegans,Mat. Stg. III,52,0.125,367,1.133514986,20231.5,11.5,14233.87,16.13430601
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,105416,Eukrohnia hamata, ,1,0.125,367,0.021798365,13911.8,17.3,4.75,0.103569099
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,105416,Eukrohnia hamata,Mat. Stg. II,22,0.125,367,0.479564033,11864.8,8.8,2305.97,1.105858746
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,105416,Eukrohnia hamata,Mat. Stg. III,23,0.125,367,0.501362398,15840.4,10.5,6771.07,3.394758637
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,139178,Clione limacina, ,8,0.25,367,0.08719346,4230.2,61.2,9476.5,0.82628918
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,140223,Limacina helicina, ,37,0.25,367,0.403269755,838.2,18.5,166.44,0.067121565
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,254453,Themisto pacifica, ,6,0.125,367,0.130790191,2565.3,8.5,688.5,0.090049538
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,254453,Themisto pacifica, ,1,0.25,367,0.010899183,6711.6,0,10415.55,0.113521
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,156452,Themisto libellula, ,1,0.5,367,0.005449591,11686.1,0,39337.8,0.214374936
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,428630,Cyphocaris challengeri, ,62,0.125,367,1.351498638,3542,66.7,2689.96,3.635478442
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,180759,Primno macropa, ,4,0.5,367,0.021798365,5745.8,42.1,8744.69,0.190619888
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,106789,Pandalidae,Juvenile,2,0.5,367,0.010899183,4937.3,0,2059.61,0.022448095
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,106738,Paguridae,Megalopa,1,0.125,367,0.021798365,2294.3,0,3975.7,0.08666377
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,1128,Euphausiacea,Nauplius,1,0.25,367,0.010899183,507.1,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,237851,Euphausia pacifica,Juvenile,1,0.5,367,0.005449591,4548.8,0,1179.51,0.006427856
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,127482,Halocyprididae, ,87,0.125,367,1.896457766,1486.2,11.4,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,131568,Tomopteris septentrionalis, ,3,1,367,0.008174387,12589,0.9,14227.32,0.116299616
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,1082,Cirripedia,Cyprid,3,0.25,367,0.032697548,1422.7,1.7,373.58,0.012215294
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,135418,Dimophyes arctica,Anterior nectophore,4,0.25,367,0.04359673,5782.7,8.8,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,135418,Dimophyes arctica,Posterior nectophore,3,0.25,367,0.032697548,3395.1,18.2,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,135418,Dimophyes arctica,Eudoxid bract,2,0.25,367,0.021798365,3110.3,2.3,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,135418,Dimophyes arctica,Eudoxid bract with gonophore,1,0.25,367,0.010899183,3190.4,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,1371,Siphonophorae,Nectophore,13,0.25,367,0.141689373,4392.7,29.3,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,10194,Actinopterygii,Juvenile,1,1,367,0.002724796,22003.2,0,0,0
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,107044,Pandalus,Juvenile,1,1,367,0.002724796,12366,0,26664.58,0.072655537
WSD201807,Multinet,0.5,Oblique,500,2018-07-11T00:43:01-0800,2018-07-11T01:26:57-0800,-149.4639,59.8448,260,GAK01,1,200,100,514245,Pasiphaea pacifica,Juvenile,8,1,367,0.021798365,39548.3,46.7,0,0
