Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Latitude_[decimal_degrees_north],Longitude_[decimal_degrees_east],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,1100,Calanoida,Nauplius,32,0.00097656,10.87613,3012.844089,300.9,13.7,3.38,10.18726603,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104108,Acartia,C1,6,0.015625,10.87613,35.30667618,326.7,5.6,2.69,0.095089263,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104108,Acartia,C2,5,0.015625,10.87613,29.42223015,416.4,10.2,5.54,0.163035979,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104108,Acartia,C3,3,0.015625,10.87613,17.65333809,486.4,4.9,8.54,0.150746956,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104108,Acartia,C4,9,0.015625,10.87613,52.96001427,616.3,6.4,17.08,0.904464843,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104108,Acartia,C5,3,0.015625,10.87613,17.65333809,727.6,6.4,27.59,0.487132988,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104257,Acartia longiremis,C5,1,0.015625,10.87613,5.88444603,717.5,0,26.31,0.154795663,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,15,0.015625,10.87613,88.26669045,886.2,9.6,49.71,4.38778469,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,34,0.015625,10.87613,200.071165,772.6,6.7,33,6.602283348,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C1,3,0.25,10.87613,1.103333631,802.7,6.3,30.53,0.033683578,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C2,7,0.25,10.87613,2.574445138,1058.2,2.9,72.17,0.185790321,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C3,15,0.25,10.87613,5.516668153,1517.6,3,223.77,1.234459727,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C4,7,0.25,10.87613,2.574445138,1978.3,5.1,516.33,1.329264941,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C5,15,0.25,10.87613,5.516668153,2670.9,3.6,1319.89,7.281396781,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196770,Calanus marshallae,C6 AF,6,0.25,10.87613,2.206667261,2974.3,3.1,1847.59,4.077010858,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196771,Calanus pacificus,C2,1,0.25,10.87613,0.367777877,814.6,0,29.87,0.010987302,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196771,Calanus pacificus,C3,1,0.25,10.87613,0.367777877,1097.8,0,78.45,0.028853046,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104470,Neocalanus cristatus,C4,1,1,10.87613,0.091944469,4112.8,0,3947.4,0.362941387,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196772,Neocalanus plumchrus,C5,4,1,10.87613,0.367777877,3751.6,4.1,3087.17,1.135392575,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196772,Neocalanus plumchrus,C6 AF,1,1,10.87613,0.091944469,3956.5,0,3609.24,0.331849274,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104468,Mesocalanus tenuicornis,C6 AF,1,0.5,10.87613,0.183888938,1609.8,0,311.25,0.05723573,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C2,1,0.0625,10.87613,1.471111507,455.6,0,9.34,0.013746694,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C3,1,0.0625,10.87613,1.471111507,555.1,0,17.33,0.025500008,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C4,1,0.0625,10.87613,1.471111507,726.3,0,40.18,0.059114777,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C5,5,0.0625,10.87613,7.355557537,904.3,7.8,81.06,0.596211363,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C6 AF,14,0.0625,10.87613,20.5955611,1180.9,4.2,184.76,3.805247654,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196774,Centropages abdominalis,C6 AM,9,0.0625,10.87613,13.24000357,1036.6,3.9,122.81,1.625974356,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104162,Ctenocalanus,C6 AF,1,0.03125,10.87613,2.942223015,817.6,0,33.25,0.097816479,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104513,Microcalanus pygmaeus,C3,1,0.0625,10.87613,1.471111507,359.8,0,2.49,0.003658753,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104513,Microcalanus pygmaeus,C4,1,0.0625,10.87613,1.471111507,435.7,0,4.55,0.006698649,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104513,Microcalanus pygmaeus,C5,1,0.0625,10.87613,1.471111507,524.9,0,8.2,0.012062455,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104513,Microcalanus pygmaeus,C6 AF,3,0.0625,10.87613,4.413334522,495.2,7.3,6.9,0.030463291,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104513,Microcalanus pygmaeus,C6 AM,1,0.0625,10.87613,1.471111507,573.1,0,10.82,0.015923424,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C1,23,0.008719308,10.87613,242.5333202,386.2,4,3.13,0.758608226,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C2,23,0.008719308,10.87613,242.5333202,481.8,5.1,6.31,1.529864864,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C3,17,0.008719308,10.87613,179.2637584,573.5,5,10.93,1.958807152,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C4,15,0.008719308,10.87613,158.1739045,673.7,6.6,18.29,2.892447311,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C5,22,0.008719308,10.87613,231.9883932,806.3,3.9,31.97,7.416527599,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C6 AF,7,0.015625,10.87613,41.19112221,885,3.3,42.82,1.764000659,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,104165,Pseudocalanus,C6 AM,49,0.015625,10.87613,288.3378555,754.2,9.8,26.55,7.65669444,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,355067,Pseudocalanus mimus,C6 AF,71,0.015625,10.87613,417.7956681,971.9,8.1,58.68,24.51732052,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,157679,Pseudocalanus newmani,C6 AF,22,0.015625,10.87613,129.4578127,754.6,4.3,25.96,3.360913896,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196775,Eucalanus bungii,C3,3,0.25,10.87613,1.103333631,2580.5,23,450.56,0.497121242,,,,
WSD201807,QuadNet,0.25,Vertical,150,2018-07-10T09:41:03-0800,2018-07-10T09:45:43-0800,59.8448,-149.4670,269,GAK01,0,100,0,196775,Eucalanus bungii,C4,27,0.25,10.87613,9.930002676,3335.5,4.1,899.22,8.929278489,,,,
