Species,TL_MEAN,N,WW_MG,DW_MG,G_C_G_DW
Thysanoessa inermis,13.4,1,32.3,10.1,0.521
Thysanoessa inermis,14,1,38.1,10.5,0.58
Thysanoessa inermis,15,1,43.8,12.4,0.564
Thysanoessa inermis,16.1,1,60.1,19.6,0.585
Thysanoessa inermis,16.8,1,61.5,18.3,0.578
Thysanoessa inermis,17.8,1,74.7,25.3,0.611
Thysanoessa inermis,18.7,1,86,28.5,0.628
Thysanoessa inermis,20.3,1,107,34.7,0.571
Thysanoessa inermis,21.5,1,117.2,37.6,0.574
Thysanoessa raschii,13.5,1,27.8,7.3,0.483
Thysanoessa raschii,14.7,1,32.6,8.9,0.506
Thysanoessa raschii,15.5,1,36.2,10.1,0.483
Thysanoessa raschii,18.3,1,65.9,17.3,0.52
Thysanoessa raschii,18.8,1,69.9,16.7,0.471
Thysanoessa raschii,20.4,1,89.3,21.5,0.473
Thysanoessa raschii,21.3,1,116.1,30.8,0.512
Thysanoessa raschii,21.9,1,147.1,34.7,0.481
Thysanoessa raschii,22.9,1,123.3,32.7,0.512
Thysanoessa raschii,23.5,1,139.4,26.3,0.417
Thysanoessa inermis,9,26,7.1,1.1,0.441
Thysanoessa inermis,11,43,8.6,1.5,0.438
Thysanoessa inermis,13,20,16.5,3.1,0.444
Thysanoessa inermis,18.8,9,60.6,11.6,0.455
Thysanoessa inermis,20.9,5,98.8,16.7,0.454
Thysanoessa raschii,9.4,23,7.1,0.9,0.408
Thysanoessa raschii,11.1,42,8.4,1.3,0.401
Thysanoessa raschii,13,37,15.9,2.5,0.416
Thysanoessa raschii,18.9,20,55.9,8.5,0.42
Thysanoessa raschii,20.9,8,68.1,12.4,0.416
Thysanoessa longipes,9.8,1,6.4,1.5,
Thysanoessa longipes,11.3,9,10.6,2.4,
Thysanoessa inermis,15.6,11,45.4,13.2,0.568
Thysanoessa inermis,17.3,12,54.7,16.2,0.558
Thysanoessa inermis,18.6,19,78.3,24.7,0.612
Thysanoessa inermis,21.2,12,102.1,29.3,0.572
Thysanoessa inermis,23.1,12,141.5,41.9,0.61
Thysanoessa raschii,14.6,37,26.5,6.1,0.511
Thysanoessa raschii,17.1,21,43.4,10.6,0.535
Thysanoessa raschii,19.2,8,65.8,14.6,0.499
Thysanoessa raschii,21,14,83.1,15.7,0.494
Thysanoessa raschii,23.1,16,105,21.6,0.465
Thysanoessa longipes,14.2,1,35,8.9,
Thysanoessa longipes,15.4,21,38.3,10.1,
Thysanoessa longipes,17.1,6,49.2,12.9,
Thysanoessa longipes,19.3,7,77.7,20.2,
Thysanoessa longipes,21.6,4,105.6,25.4,
Thysanoessa longipes,22.7,5,127.8,32.4,
Thysanoessa longipes,25.3,3,185.3,54.4,
Thysanoessa raschii,11.3,50,10.7,2,
Thysanoessa raschii,12.7,50,15.3,3.1,
Thysanoessa raschii,15.2,20,28.7,6.5,
Thysanoessa raschii,17,20,42.3,9.8,
Thysanoessa raschii,19.2,11,63.2,13.8,
Thysanoessa raschii,21.2,12,83.1,18.6,
Thysanoessa raschii,23.7,5,120.9,26.1,
Thysanoessa raschii,25.2,4,156.5,34,
Thysanoessa raschii,27,2,179.4,40.4,
Thysanoessa inermis,13.9,2,27.5,7,
Thysanoessa inermis,15.6,4,42.8,11.7,
Thysanoessa inermis,17.3,4,58.6,15.1,
Thysanoessa inermis,18.7,10,83.8,26.5,
Thysanoessa inermis,23.2,3,151.7,45.2,
Thysanoessa longipes,12.9,7,19.8,4.1,0.43
Thysanoessa longipes,14.9,6,31.5,6.8,0.429
Thysanoessa longipes,16.8,7,54.9,11.2,0.478
Thysanoessa longipes,19.7,2,95.7,16.7,0.423
Thysanoessa raschii,13.4,7,17.6,3.4,
Thysanoessa raschii,15.2,20,30.3,7.5,
Thysanoessa raschii,16.8,20,43.7,11.3,
Thysanoessa raschii,19.4,15,79.8,20.4,
Thysanoessa raschii,21.1,24,88.5,23.6,
Thysanoessa raschii,23,2,108.6,27.9,
Thysanoessa raschii,24.7,2,127.3,32.4,
Thysanoessa raschii,27.6,2,212.5,46.3,
Thysanoessa inermis,12.4,1,16.1,3.9,
Thysanoessa inermis,17.1,9,55,16.4,
Thysanoessa inermis,18.9,17,76.6,25.5,
Thysanoessa inermis,21.1,4,105.8,35,
Thysanoessa longipes,13.8,4,34.1,6.6,0.477
Thysanoessa longipes,15.1,11,42.2,9.8,0.526
Thysanoessa longipes,19.1,8,85.9,22,0.522
Thysanoessa longipes,21.2,10,112.6,37.3,0.547
Thysanoessa longipes,22.7,3,140.9,40.4,0.553
