ROW,STAGE_NAME,STAGE_NAME_EcoDAAT,SEX_NAME
1,C6 AF,ADULT,FEMALE
2,C6 AF,ADULT,FEMALE
3,C4,C - 4 (COPEPODITE IV),
4,C5,C - 5 (COPEPODITE V),
5,C6 AF,ADULT,FEMALE
6,C6 AM,ADULT,MALE
7,C3,C - 3 (COPEPODITE III),
8,C4,C - 4 (COPEPODITE IV),
9,C5,C - 5 (COPEPODITE V),
10,C6 AF,ADULT,FEMALE
11,C3,C - 3 (COPEPODITE III),
12,C4,C - 4 (COPEPODITE IV),
13,C5,C - 5 (COPEPODITE V),
14,C6 AM,ADULT,MALE
15,C6 AF,ADULT,FEMALE
16,C3,C - 3 (COPEPODITE III),
17,C4,C - 4 (COPEPODITE IV),
18,C6 AF,ADULT,FEMALE
19,C6 AM,ADULT,MALE
20,C4,C - 4 (COPEPODITE IV),
21,C5,C - 5 (COPEPODITE V),
22,C6 AM,ADULT,MALE
23,C4,C - 4 (COPEPODITE IV),
24,C5,C - 5 (COPEPODITE V),
25,C6 AF,ADULT,FEMALE
26,C6 AM,ADULT,MALE
27,C5,C - 5 (COPEPODITE V),
28,C6 AF,ADULT,FEMALE
29,C6 AM,ADULT,MALE
30,C6 AF,ADULT,FEMALE
31,C6 AM,ADULT,MALE
32,Mat. Stg. II,,
33,Mat. Stg. III,,
34,Mat. Stg. IV,,
35,NA,,
36,Mat. Stg. II,,
37,Mat. Stg. III,,
38,NA,,
39,NA,,
40,NA,,
41,NA,,
42,NA,,
43,NA,,
44,NA,,
45,Zoea,ZOEA,
46,Zoea,ZOEA,
47,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
48,Furcilia,FURCILIA,
49,Juvenile,JUVENILE,
50,Juvenile,JUVENILE,
51,Juvenile,JUVENILE,
52,NA,,
53,Nauplius,NAUPLIUS,
54,Cyprid,CYPRIS,
55,NA,,
56,Tail,,
57,C5,C - 5 (COPEPODITE V),
58,C6 AF,ADULT,FEMALE
59,C3,C - 3 (COPEPODITE III),
60,C4,C - 4 (COPEPODITE IV),
61,C5,C - 5 (COPEPODITE V),
62,C6 AF,ADULT,FEMALE
63,C6 AM,ADULT,MALE
64,C2,C - 2 (COPEPODITE II),
65,C3,C - 3 (COPEPODITE III),
66,C4,C - 4 (COPEPODITE IV),
67,C5,C - 5 (COPEPODITE V),
68,C4,C - 4 (COPEPODITE IV),
69,C5,C - 5 (COPEPODITE V),
70,C6 AM,ADULT,MALE
71,C4,C - 4 (COPEPODITE IV),
72,C5,C - 5 (COPEPODITE V),
73,C6 AF,ADULT,FEMALE
74,C2,C - 2 (COPEPODITE II),
75,C3,C - 3 (COPEPODITE III),
76,C4,C - 4 (COPEPODITE IV),
77,C5,C - 5 (COPEPODITE V),
78,C6 AF,ADULT,FEMALE
79,C5,C - 5 (COPEPODITE V),
80,C6 AF,ADULT,FEMALE
81,C5,C - 5 (COPEPODITE V),
82,C6 AF,ADULT,FEMALE
83,C5,C - 5 (COPEPODITE V),
84,C6 AF,ADULT,FEMALE
85,C6 AM,ADULT,MALE
86,C6 AF,ADULT,FEMALE
87,C6 AM,ADULT,MALE
88,NA,,
89,NA,,
90,NA,,
91,NA,,
92,NA,,
93,NA,,
94,NA,,
95,NA,,
96,NA,,
97,Zoea,ZOEA,
98,Zoea,ZOEA,
99,Zoea,ZOEA,
100,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
101,Furcilia,FURCILIA,
102,Juvenile,JUVENILE,
103,AM,ADULT,MALE
104,Juvenile,JUVENILE,
105,Juvenile,JUVENILE,
106,AF,ADULT,FEMALE
107,Juvenile,JUVENILE,
108,AF,ADULT,FEMALE
109,AM,ADULT,MALE
110,NA,,
111,Nauplius,NAUPLIUS,
112,Zoea,ZOEA,
113,Juvenile,JUVENILE,
114,NA,,
115,C5,C - 5 (COPEPODITE V),
116,C3,C - 3 (COPEPODITE III),
117,C4,C - 4 (COPEPODITE IV),
118,C5,C - 5 (COPEPODITE V),
119,C6 AF,ADULT,FEMALE
120,C6 AM,ADULT,MALE
121,C6 AM,ADULT,MALE
122,C4,C - 4 (COPEPODITE IV),
123,C5,C - 5 (COPEPODITE V),
124,C4,C - 4 (COPEPODITE IV),
125,C5,C - 5 (COPEPODITE V),
126,C4,C - 4 (COPEPODITE IV),
127,C5,C - 5 (COPEPODITE V),
128,C6 AF,ADULT,FEMALE
129,C2,C - 2 (COPEPODITE II),
130,C3,C - 3 (COPEPODITE III),
131,C4,C - 4 (COPEPODITE IV),
132,C5,C - 5 (COPEPODITE V),
133,C6 AF,ADULT,FEMALE
134,C5,C - 5 (COPEPODITE V),
135,C6 AF,ADULT,FEMALE
136,C4,C - 4 (COPEPODITE IV),
137,C5,C - 5 (COPEPODITE V),
138,C6 AF,ADULT,FEMALE
139,C6 AM,ADULT,MALE
140,NA,,
141,NA,,
142,NA,,
143,NA,,
144,NA,,
145,NA,,
146,Zoea,ZOEA,
147,Zoea,ZOEA,
148,Zoea,ZOEA,
149,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
150,Furcilia,FURCILIA,
151,Juvenile,JUVENILE,
152,AF,ADULT,FEMALE
153,AM,ADULT,MALE
154,Juvenile,JUVENILE,
155,AF,ADULT,FEMALE
156,AM,ADULT,MALE
157,Nauplius,NAUPLIUS,
158,Zoea,ZOEA,
159,NA,,
160,Tail,,
161,C3,C - 3 (COPEPODITE III),
162,C4,C - 4 (COPEPODITE IV),
163,C5,C - 5 (COPEPODITE V),
164,C6 AF,ADULT,FEMALE
165,C5,C - 5 (COPEPODITE V),
166,C3,C - 3 (COPEPODITE III),
167,C4,C - 4 (COPEPODITE IV),
168,C5,C - 5 (COPEPODITE V),
169,C6 AM,ADULT,MALE
170,C3,C - 3 (COPEPODITE III),
171,C4,C - 4 (COPEPODITE IV),
172,C5,C - 5 (COPEPODITE V),
173,C6 AF,ADULT,FEMALE
174,C1,C - 1 (COPEPODITE I),
175,C2,C - 2 (COPEPODITE II),
176,C3,C - 3 (COPEPODITE III),
177,C4,C - 4 (COPEPODITE IV),
178,C6 AF,ADULT,FEMALE
179,C5,C - 5 (COPEPODITE V),
180,C6 AF,ADULT,FEMALE
181,NA,,
182,NA,,
183,NA,,
184,NA,,
185,NA,,
186,NA,,
187,NA,,
188,Zoea,ZOEA,
189,Zoea,ZOEA,
190,Zoea,ZOEA,
191,Zoea,ZOEA,
192,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
193,Furcilia,FURCILIA,
194,Juvenile,JUVENILE,
195,AF,ADULT,FEMALE
196,AM,ADULT,MALE
197,Juvenile,JUVENILE,
198,AM,ADULT,MALE
199,NA,,
200,Nauplius,NAUPLIUS,
201,Zoea,ZOEA,
202,NA,,
203,C6 AF,ADULT,FEMALE
204,C3,C - 3 (COPEPODITE III),
205,C4,C - 4 (COPEPODITE IV),
206,C5,C - 5 (COPEPODITE V),
207,C6 AF,ADULT,FEMALE
208,C6 AM,ADULT,MALE
209,C5,C - 5 (COPEPODITE V),
210,C4,C - 4 (COPEPODITE IV),
211,C5,C - 5 (COPEPODITE V),
212,C3,C - 3 (COPEPODITE III),
213,C4,C - 4 (COPEPODITE IV),
214,C5,C - 5 (COPEPODITE V),
215,C5,C - 5 (COPEPODITE V),
216,C6 AF,ADULT,FEMALE
217,C1,C - 1 (COPEPODITE I),
218,C2,C - 2 (COPEPODITE II),
219,C3,C - 3 (COPEPODITE III),
220,C4,C - 4 (COPEPODITE IV),
221,C5,C - 5 (COPEPODITE V),
222,C4,C - 4 (COPEPODITE IV),
223,C5,C - 5 (COPEPODITE V),
224,C6 AF,ADULT,FEMALE
225,NA,,
226,NA,,
227,NA,,
228,NA,,
229,NA,,
230,NA,,
231,Zoea,ZOEA,
232,Zoea,ZOEA,
233,Zoea,ZOEA,
234,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
235,Furcilia,FURCILIA,
236,Juvenile,JUVENILE,
237,AF,ADULT,FEMALE
238,AM,ADULT,MALE
239,AF,ADULT,FEMALE
240,AF,ADULT,FEMALE
241,AM,ADULT,MALE
242,AM,ADULT,MALE
243,NA,,
244,Cyprid,CYPRIS,
245,Zoea,ZOEA,
246,NA,,
247,C5,C - 5 (COPEPODITE V),
248,C2,C - 2 (COPEPODITE II),
249,C3,C - 3 (COPEPODITE III),
250,C4,C - 4 (COPEPODITE IV),
251,C5,C - 5 (COPEPODITE V),
252,C6 AF,ADULT,FEMALE
253,C6 AM,ADULT,MALE
254,C5,C - 5 (COPEPODITE V),
255,C3,C - 3 (COPEPODITE III),
256,C4,C - 4 (COPEPODITE IV),
257,C5,C - 5 (COPEPODITE V),
258,C5,C - 5 (COPEPODITE V),
259,C6 AM,ADULT,MALE
260,C4,C - 4 (COPEPODITE IV),
261,C5,C - 5 (COPEPODITE V),
262,C6 AM,ADULT,MALE
263,C5,C - 5 (COPEPODITE V),
264,C6 AF,ADULT,FEMALE
265,C2,C - 2 (COPEPODITE II),
266,C3,C - 3 (COPEPODITE III),
267,C4,C - 4 (COPEPODITE IV),
268,C5,C - 5 (COPEPODITE V),
269,C6 AF,ADULT,FEMALE
270,C6 AM,ADULT,MALE
271,C3,C - 3 (COPEPODITE III),
272,C5,C - 5 (COPEPODITE V),
273,C5,C - 5 (COPEPODITE V),
274,C6 AF,ADULT,FEMALE
275,C6 AM,ADULT,MALE
276,C3,C - 3 (COPEPODITE III),
277,C6 AF,ADULT,FEMALE
278,Mat. Stg. V,,
279,Mat. Stg. II,,
280,Mat. Stg. III,,
281,Mat. Stg. III,,
282,NA,,
283,NA,,
284,NA,,
285,NA,,
286,NA,,
287,Zoea,ZOEA,
288,Juvenile,JUVENILE,
289,Zoea,ZOEA,
290,Megalopa,MEGALOPAE,
291,Calyptopis,CALYPTOPIS (STAGE NOT DETERMINED),
292,Furcilia,FURCILIA,
293,Juvenile,JUVENILE,
294,Juvenile,JUVENILE,
295,Juvenile,JUVENILE,
296,Juvenile,JUVENILE,
297,NA,,
298,Nauplius,NAUPLIUS,
299,Juvenile,JUVENILE,
300,Juvenile,JUVENILE,
301,NA,,
302,Tail,,
303,C5,C - 5 (COPEPODITE V),
304,C4,C - 4 (COPEPODITE IV),
305,C5,C - 5 (COPEPODITE V),
306,C6 AM,ADULT,MALE
307,C6 AF,ADULT,FEMALE
308,C3,C - 3 (COPEPODITE III),
309,C4,C - 4 (COPEPODITE IV),
310,C5,C - 5 (COPEPODITE V),
311,C6 AF,ADULT,FEMALE
312,C6 AM,ADULT,MALE
313,C2,C - 2 (COPEPODITE II),
314,C3,C - 3 (COPEPODITE III),
315,C4,C - 4 (COPEPODITE IV),
316,C5,C - 5 (COPEPODITE V),
317,C4,C - 4 (COPEPODITE IV),
318,C5,C - 5 (COPEPODITE V),
319,C3,C - 3 (COPEPODITE III),
320,C4,C - 4 (COPEPODITE IV),
321,C5,C - 5 (COPEPODITE V),
322,C5,C - 5 (COPEPODITE V),
323,C6 AF,ADULT,FEMALE
324,C5,C - 5 (COPEPODITE V),
325,C6 AF,ADULT,FEMALE
326,C6 AM,ADULT,MALE
327,C1,C - 1 (COPEPODITE I),
328,C2,C - 2 (COPEPODITE II),
329,C3,C - 3 (COPEPODITE III),
330,C4,C - 4 (COPEPODITE IV),
331,C5,C - 5 (COPEPODITE V),
332,C6 AF,ADULT,FEMALE
333,C3,C - 3 (COPEPODITE III),
334,C4,C - 4 (COPEPODITE IV),
335,C5,C - 5 (COPEPODITE V),
336,C6 AF,ADULT,FEMALE
337,C4,C - 4 (COPEPODITE IV),
