ROW,TAXON_NAME,TAXA_COARSE,NOTE
244,Acartia,Acartia spp.,
4874,Acartia,Acartia spp.,
4875,Acartia,Acartia spp.,
4876,Acartia,Acartia spp.,
4941,Acartia,Acartia spp.,
4942,Acartia,Acartia spp.,
4943,Acartia,Acartia spp.,
5032,Acartia,Acartia spp.,
5033,Acartia,Acartia spp.,
5034,Acartia,Acartia spp.,
5035,Acartia,Acartia spp.,
5036,Acartia,Acartia spp.,
5114,Acartia,Acartia spp.,
5115,Acartia,Acartia spp.,
5268,Acartia,Acartia spp.,
5269,Acartia,Acartia spp.,
5360,Acartia,Acartia spp.,
5445,Acartia,Acartia spp.,
5530,Acartia,Acartia spp.,
5603,Acartia,Acartia spp.,
5604,Acartia,Acartia spp.,
5697,Acartia,Acartia spp.,
5951,Acartia,Acartia spp.,
6120,Acartia,Acartia spp.,
6203,Acartia,Acartia spp.,
6300,Acartia,Acartia spp.,
6301,Acartia,Acartia spp.,
6489,Acartia,Acartia spp.,
6490,Acartia,Acartia spp.,
6586,Acartia,Acartia spp.,
6587,Acartia,Acartia spp.,
6588,Acartia,Acartia spp.,
6783,Acartia,Acartia spp.,
6784,Acartia,Acartia spp.,
6785,Acartia,Acartia spp.,
6868,Acartia,Acartia spp.,
6869,Acartia,Acartia spp.,
6870,Acartia,Acartia spp.,
9279,Acartia,Acartia spp.,
9280,Acartia,Acartia spp.,
9281,Acartia,Acartia spp.,
9282,Acartia,Acartia spp.,
9355,Acartia,Acartia spp.,
9356,Acartia,Acartia spp.,
9502,Acartia,Acartia spp.,
9503,Acartia,Acartia spp.,
9504,Acartia,Acartia spp.,
9505,Acartia,Acartia spp.,
9590,Acartia,Acartia spp.,
9591,Acartia,Acartia spp.,
9592,Acartia,Acartia spp.,
9671,Acartia,Acartia spp.,
9672,Acartia,Acartia spp.,
9673,Acartia,Acartia spp.,
9674,Acartia,Acartia spp.,
9675,Acartia,Acartia spp.,
9769,Acartia,Acartia spp.,
9770,Acartia,Acartia spp.,
9771,Acartia,Acartia spp.,
9772,Acartia,Acartia spp.,
9874,Acartia,Acartia spp.,
9875,Acartia,Acartia spp.,
9876,Acartia,Acartia spp.,
9877,Acartia,Acartia spp.,
9878,Acartia,Acartia spp.,
9978,Acartia,Acartia spp.,
9979,Acartia,Acartia spp.,
9980,Acartia,Acartia spp.,
9981,Acartia,Acartia spp.,
9982,Acartia,Acartia spp.,
11554,Acartia,Acartia spp.,
13850,Acartia,Acartia spp.,
13851,Acartia,Acartia spp.,
13852,Acartia,Acartia spp.,
13853,Acartia,Acartia spp.,
13953,Acartia,Acartia spp.,
13954,Acartia,Acartia spp.,
13955,Acartia,Acartia spp.,
14047,Acartia,Acartia spp.,
14048,Acartia,Acartia spp.,
14049,Acartia,Acartia spp.,
14147,Acartia,Acartia spp.,
14148,Acartia,Acartia spp.,
14149,Acartia,Acartia spp.,
14150,Acartia,Acartia spp.,
14230,Acartia,Acartia spp.,
14231,Acartia,Acartia spp.,
14232,Acartia,Acartia spp.,
14233,Acartia,Acartia spp.,
14234,Acartia,Acartia spp.,
14235,Acartia,Acartia spp.,
14305,Acartia,Acartia spp.,
14306,Acartia,Acartia spp.,
14307,Acartia,Acartia spp.,
14308,Acartia,Acartia spp.,
14382,Acartia,Acartia spp.,
14383,Acartia,Acartia spp.,
14384,Acartia,Acartia spp.,
14385,Acartia,Acartia spp.,
14386,Acartia,Acartia spp.,
14457,Acartia,Acartia spp.,
14458,Acartia,Acartia spp.,
14459,Acartia,Acartia spp.,
14460,Acartia,Acartia spp.,
14461,Acartia,Acartia spp.,
14534,Acartia,Acartia spp.,
14535,Acartia,Acartia spp.,
14536,Acartia,Acartia spp.,
14537,Acartia,Acartia spp.,
14538,Acartia,Acartia spp.,
14612,Acartia,Acartia spp.,
14613,Acartia,Acartia spp.,
14614,Acartia,Acartia spp.,
14615,Acartia,Acartia spp.,
14616,Acartia,Acartia spp.,
14689,Acartia,Acartia spp.,
14690,Acartia,Acartia spp.,
14691,Acartia,Acartia spp.,
14692,Acartia,Acartia spp.,
14767,Acartia,Acartia spp.,
14768,Acartia,Acartia spp.,
14769,Acartia,Acartia spp.,
14770,Acartia,Acartia spp.,
14771,Acartia,Acartia spp.,
14859,Acartia,Acartia spp.,
14860,Acartia,Acartia spp.,
14861,Acartia,Acartia spp.,
14862,Acartia,Acartia spp.,
14863,Acartia,Acartia spp.,
14864,Acartia,Acartia spp.,
14954,Acartia,Acartia spp.,
14955,Acartia,Acartia spp.,
14956,Acartia,Acartia spp.,
14957,Acartia,Acartia spp.,
14958,Acartia,Acartia spp.,
15028,Acartia,Acartia spp.,
15029,Acartia,Acartia spp.,
15030,Acartia,Acartia spp.,
15031,Acartia,Acartia spp.,
15032,Acartia,Acartia spp.,
15111,Acartia,Acartia spp.,
15112,Acartia,Acartia spp.,
15113,Acartia,Acartia spp.,
15114,Acartia,Acartia spp.,
15213,Acartia,Acartia spp.,
15214,Acartia,Acartia spp.,
15215,Acartia,Acartia spp.,
15216,Acartia,Acartia spp.,
15304,Acartia,Acartia spp.,
15305,Acartia,Acartia spp.,
15306,Acartia,Acartia spp.,
15402,Acartia,Acartia spp.,
15403,Acartia,Acartia spp.,
15404,Acartia,Acartia spp.,
15405,Acartia,Acartia spp.,
15406,Acartia,Acartia spp.,
15506,Acartia,Acartia spp.,
15507,Acartia,Acartia spp.,
15605,Acartia,Acartia spp.,
15721,Acartia,Acartia spp.,
15722,Acartia,Acartia spp.,
15723,Acartia,Acartia spp.,
15724,Acartia,Acartia spp.,
15725,Acartia,Acartia spp.,
15816,Acartia,Acartia spp.,
15817,Acartia,Acartia spp.,
15818,Acartia,Acartia spp.,
15897,Acartia,Acartia spp.,
15898,Acartia,Acartia spp.,
15899,Acartia,Acartia spp.,
15900,Acartia,Acartia spp.,
15901,Acartia,Acartia spp.,
17720,Acartia,Acartia spp.,
17721,Acartia,Acartia spp.,
17722,Acartia,Acartia spp.,
17723,Acartia,Acartia spp.,
17799,Acartia,Acartia spp.,
17800,Acartia,Acartia spp.,
17801,Acartia,Acartia spp.,
17802,Acartia,Acartia spp.,
17892,Acartia,Acartia spp.,
17893,Acartia,Acartia spp.,
17894,Acartia,Acartia spp.,
17895,Acartia,Acartia spp.,
17896,Acartia,Acartia spp.,
17981,Acartia,Acartia spp.,
17982,Acartia,Acartia spp.,
17983,Acartia,Acartia spp.,
17984,Acartia,Acartia spp.,
18069,Acartia,Acartia spp.,
18070,Acartia,Acartia spp.,
18071,Acartia,Acartia spp.,
18072,Acartia,Acartia spp.,
18157,Acartia,Acartia spp.,
18158,Acartia,Acartia spp.,
18246,Acartia,Acartia spp.,
18247,Acartia,Acartia spp.,
18248,Acartia,Acartia spp.,
18249,Acartia,Acartia spp.,
18328,Acartia,Acartia spp.,
18329,Acartia,Acartia spp.,
18330,Acartia,Acartia spp.,
18331,Acartia,Acartia spp.,
18415,Acartia,Acartia spp.,
18416,Acartia,Acartia spp.,
18417,Acartia,Acartia spp.,
18418,Acartia,Acartia spp.,
18514,Acartia,Acartia spp.,
18515,Acartia,Acartia spp.,
18516,Acartia,Acartia spp.,
18517,Acartia,Acartia spp.,
18619,Acartia,Acartia spp.,
18620,Acartia,Acartia spp.,
18621,Acartia,Acartia spp.,
18622,Acartia,Acartia spp.,
18710,Acartia,Acartia spp.,
18711,Acartia,Acartia spp.,
18791,Acartia,Acartia spp.,
18871,Acartia,Acartia spp.,
18872,Acartia,Acartia spp.,
18873,Acartia,Acartia spp.,
18874,Acartia,Acartia spp.,
18965,Acartia,Acartia spp.,
19034,Acartia,Acartia spp.,
19035,Acartia,Acartia spp.,
19036,Acartia,Acartia spp.,
19037,Acartia,Acartia spp.,
19139,Acartia,Acartia spp.,
19140,Acartia,Acartia spp.,
19141,Acartia,Acartia spp.,
19142,Acartia,Acartia spp.,
19143,Acartia,Acartia spp.,
19240,Acartia,Acartia spp.,
19241,Acartia,Acartia spp.,
19242,Acartia,Acartia spp.,
19243,Acartia,Acartia spp.,
19358,Acartia,Acartia spp.,
19359,Acartia,Acartia spp.,
19360,Acartia,Acartia spp.,
19361,Acartia,Acartia spp.,
19854,Acartia,Acartia spp.,
21010,Acartia,Acartia spp.,
21107,Acartia,Acartia spp.,
21203,Acartia,Acartia spp.,
21302,Acartia,Acartia spp.,
21303,Acartia,Acartia spp.,
21304,Acartia,Acartia spp.,
21388,Acartia,Acartia spp.,
21567,Acartia,Acartia spp.,
21568,Acartia,Acartia spp.,
21569,Acartia,Acartia spp.,
21570,Acartia,Acartia spp.,
21650,Acartia,Acartia spp.,
21651,Acartia,Acartia spp.,
21652,Acartia,Acartia spp.,
21653,Acartia,Acartia spp.,
21743,Acartia,Acartia spp.,
21744,Acartia,Acartia spp.,
21811,Acartia,Acartia spp.,
21881,Acartia,Acartia spp.,
21956,Acartia,Acartia spp.,
21957,Acartia,Acartia spp.,
21958,Acartia,Acartia spp.,
22052,Acartia,Acartia spp.,
22053,Acartia,Acartia spp.,
22054,Acartia,Acartia spp.,
22171,Acartia,Acartia spp.,
22172,Acartia,Acartia spp.,
22258,Acartia,Acartia spp.,
22341,Acartia,Acartia spp.,
22431,Acartia,Acartia spp.,
22432,Acartia,Acartia spp.,
22433,Acartia,Acartia spp.,
22510,Acartia,Acartia spp.,
22511,Acartia,Acartia spp.,
22512,Acartia,Acartia spp.,
22594,Acartia,Acartia spp.,
22793,Acartia,Acartia spp.,
22794,Acartia,Acartia spp.,
22795,Acartia,Acartia spp.,
22796,Acartia,Acartia spp.,
22797,Acartia,Acartia spp.,
22885,Acartia,Acartia spp.,
22886,Acartia,Acartia spp.,
22887,Acartia,Acartia spp.,
22888,Acartia,Acartia spp.,
24789,Acartia,Acartia spp.,
24790,Acartia,Acartia spp.,
24791,Acartia,Acartia spp.,
24792,Acartia,Acartia spp.,
24793,Acartia,Acartia spp.,
24890,Acartia,Acartia spp.,
24891,Acartia,Acartia spp.,
24892,Acartia,Acartia spp.,
24893,Acartia,Acartia spp.,
24894,Acartia,Acartia spp.,
24968,Acartia,Acartia spp.,
24969,Acartia,Acartia spp.,
24970,Acartia,Acartia spp.,
24971,Acartia,Acartia spp.,
24972,Acartia,Acartia spp.,
25030,Acartia,Acartia spp.,
25031,Acartia,Acartia spp.,
25032,Acartia,Acartia spp.,
25033,Acartia,Acartia spp.,
25101,Acartia,Acartia spp.,
25102,Acartia,Acartia spp.,
25103,Acartia,Acartia spp.,
25104,Acartia,Acartia spp.,
