TAXON_NAME,TAXA_COARSE,NOTE
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthomysis spp.,Mysidae,
Acanthostepheia spp.,Amphipoda,
Acanthostepheia spp.,Amphipoda,
Acartia bifilosa,Acartia spp.,
Acartia bifilosa,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia clausi,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
Acartia hudsonica,Acartia spp.,
