TaxaList_Coarse_Summary,GEAR_NAME,MESH,NOTES
Acartia spp.,20BON,153,
Acartia spp.,PairoVET,153,
Acartia spp.,Juday,168,
Acartia spp.,LG-CB,153,
Aglantha digitale,60BON,505,
Aglantha digitale,60BON,333,
Amphipoda,60BON,505,
Amphipoda,60BON,333,
Anomura,60BON,505,
Anomura,60BON,333,
Appendicularia_large,60BON,505,
Appendicularia_large,60BON,333,
Appendicularia_small,20BON,153,
Appendicularia_small,PairoVET,153,
Appendicularia_small,Juday,168,
Appendicularia_small,LG-CB,153,
Bivalvia,20BON,153,
Bivalvia,PairoVET,153,
Bivalvia,Juday,168,
Bivalvia,LG-CB,153,
Brachyura,60BON,505,
Brachyura,60BON,333,
Calanus hyperboreus,60BON,505,
Calanus hyperboreus,60BON,333,
Calanus hyperboreus,20BON,153,
Calanus hyperboreus,LG-CB,153,
Calanus marshallae/glacialis,60BON,505,
Calanus marshallae/glacialis,60BON,333,
Calanus marshallae/glacialis,20BON,153,
Calanus marshallae/glacialis,LG-CB,153,
Calanus marshallae/glacialis,PairoVET,153,
Calanus marshallae/glacialis,Juday,168,
Calanus pacificus,60BON,505,
Calanus pacificus,60BON,333,
Calanus pacificus,20BON,153,
Caridea,60BON,505,
Caridea,60BON,333,
Centropages abdominalis,20BON,153,
Centropages abdominalis,LG-CB,153,
Centropages abdominalis,PairoVET,153,
Centropages abdominalis,Juday,168,
Chaetognatha,60BON,505,
Chaetognatha,60BON,333,
Cirripedia_large,60BON,505,
Cirripedia_large,60BON,333,
Cirripedia_large,20BON,153,
Cirripedia_large,PairoVET,153,
Cirripedia_large,Juday,168,
Cirripedia_large,LG-CB,153,
Cladocera,20BON,153,
Cladocera,PairoVET,153,
Cladocera,Juday,168,
Cladocera,LG-CB,153,
Clione limacina,60BON,505,
Clione limacina,60BON,333,
Cnidaria_large,60BON,505,
Cnidaria_large,60BON,333,
Cnidaria_small,20BON,153,
Cnidaria_small,PairoVET,153,
Cnidaria_small,Juday,168,
Cnidaria_small,LG-CB,153,
Copepod_large,60BON,505,
Copepod_large,60BON,333,
Ctenophora,60BON,505,
Ctenophora,60BON,333,
Cumacea,60BON,505,
Cumacea,60BON,333,
Decapoda,,,"Very few entries, can remove from final dataset"
Echinodermata,20BON,153,
Echinodermata,PairoVET,153,
Echinodermata,Juday,168,
Echinodermata,LG-CB,153,
Epilabidocera longipedata,60BON,505,
Epilabidocera longipedata,60BON,333,
Epilabidocera longipedata,20BON,153,
Epilabidocera longipedata,LG-CB,153,
Epilabidocera longipedata,PairoVET,153,
Epilabidocera longipedata,Juday,168,
Eucalanus bungii,60BON,505,
Eucalanus bungii,60BON,333,
Eucalanus bungii,20BON,153,
Eucalanus bungii,LG-CB,153,
Eucalanus bungii,PairoVET,153,
Eucalanus bungii,Juday,168,
Euphausia pacifica,60BON,505,
Euphausia pacifica,60BON,333,
Tessarabrachion oculatum,60BON,505,Split from Euphausiacea
Tessarabrachion oculatum,60BON,333,Split from Euphausiacea
Euphausiacea_furcilia,60BON,505,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_furcilia,60BON,333,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_furcilia,20BON,153,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_furcilia,LG-CB,153,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_furcilia,PairoVET,153,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_furcilia,Juday,168,"Split from Euphausiacea, furcilia from large and small nets"
Euphausiacea_calyptopis,60BON,505,"Split from Euphausiacea, calyptopis from large and small nets"
Euphausiacea_calyptopis,60BON,333,"Split from Euphausiacea, calyptopis from large and small nets"
Euphausiacea_calyptopis,20BON,153,"Split from Euphausiacea, calyptopis from large and small nets"
Euphausiacea_calyptopis,LG-CB,153,"Split from Euphausiacea, calyptopis from large and small nets"
