"","TaxaList_Coarse_Summary"
"1","Acartia spp."
"2","Aglantha digitale"
"3","Amphipoda"
"4","Anomura"
"5","Appendicularia"
"6","Bivalvia"
"7","Brachyura"
"8","Calanus hyperboreus"
"9","Calanus marshallae/glacialis"
"10","Calanus pacificus"
"11","Caridea"
"12","Centropages abdominalis"
"13","Chaetognatha"
"14","Cirripedia"
"15","Cladocera"
"16","Clione limacina"
"17","Cnidaria"
"18","Copepod_large"
"19","Copepod_small"
"20","Ctenophora"
"21","Cumacea"
"22","Decapoda"
"23","Echinodermata"
"24","Epilabidocera longipedata"
"25","Eucalanus bungii"
"26","Euphausia pacifica"
"27","Euphausiacea"
"28","Eurytemora spp."
"29","Gastropoda"
"30","Limacina helicina"
"31","Metridia longa"
"32","Metridia okhotensis"
"33","Metridia pacifica"
"34","Metridia spp."
"35","Mysidae"
"36","Neocalanus cristatus"
"37","Neocalanus spp."
"38","Oithona spp."
"39","Ostracoda"
"40","Polychaeta"
"41","Pseudocalanus spp."
"42","Thaliacea"
"43","Themisto abyssorum"
"44","Themisto libellula"
"45","Themisto pacifica"
"46","Themisto spp."
"47","Thysanoessa inermis"
"48","Thysanoessa inspinata"
"49","Thysanoessa longipes"
"50","Thysanoessa raschii"
"51","Thysanoessa spinifera"
"52","Tortanus discaudatus"
