brood_year,yukon_mean_discharge,SST_CDD_NBS,Year,Recruit_age_1_millions,mean_size,fall_snow_cummulative,sockeye_juv_index
1980,468967.2131147541,NA,1981,30283,0.10680476432897744,NA,NA
1981,399114.75409836066,NA,1982,17084,0.4209944882828921,NA,NA
1982,442672.131147541,NA,1983,49553,0.6306134147822624,NA,NA
1983,344704.91803278687,NA,1984,13152,0.5773429986225004,NA,NA
1984,427163.9344262295,614.21,1985,33149,0.2338934421628369,NA,NA
1985,341000,613.49,1986,12606,0.33179580535485687,NA,NA
1986,326360.65573770495,661.46,1987,7004,0.06442975644307397,NA,NA
1987,357360.65573770495,609.54,1988,5383,0.6654247689906935,NA,NA
1988,389967.2131147541,635.64,1989,11487,0.8701184873735044,NA,NA
1989,449688.524590164,709.35,1990,48931,0.8622990912300365,NA,NA
1990,537049.1803278689,756.06,1991,25553,0.2920218368868116,NA,NA
1991,529000,599.25,1992,21315,-0.3135617534474494,NA,NA
1992,410983.60655737703,672.74,1993,44628,-0.07584572213559493,NA,NA
1993,500229.5081967213,600.23,1994,14963,-0.5964375575907459,NA,NA
1994,406409.8360655738,676.64,1995,10270,-0.8847994766356155,NA,NA
1995,430180.3278688525,675.55,1996,22106,-0.18742299116110228,NA,NA
1996,378803.2786885246,728.11,1997,30318,0.4606303017523367,NA,NA
1998,NA,561.77,1999,15784,-0.24016444712257792,NA,NA
1999,NA,665.3,2000,24565,-0.01409917623850948,NA,NA
2000,NA,578.28,2001,34331,-0.20370758616414564,NA,NA
2001,495606.5573770492,761.7,2002,22928,-0.18971583508686896,59.6,-0.28234145307195835
2002,470360.65573770495,776.13,2003,14012,0.46589438686678675,40.2,-0.15336775815480508
2003,407704.91803278687,907.58,2004,6319,0.5734383628278181,63.400000000000006,-0.1002793636475872
2004,498049.1803278689,782.7,2005,4490,0.3297800157042324,46.6,1.274625539112882
2005,585196.7213114754,643.82,2006,11415,0.6204008147967306,58.1,-0.9155061720832796
2006,459278.68852459016,822.07,2007,24377,-0.5896718952759182,77.2,0.8018542753118166
2007,369901.6393442623,649.66,2008,13289,-0.1911404964101262,34.2,-1.0102787193855265
2008,437172.131147541,621.74,2009,49229,-0.07998341941978679,45,-0.8435392663319133
2009,530360.655737705,702.18,2010,21881,0.02996918929539276,65.3,-1.0010604699751189
2010,324950.81967213115,589.83,2011,13080,-0.08219035196967286,46,-1.2238347285582625
2011,436245.9016393443,646.84,2012,11570,0.0240325282797922,50.2,-0.7812720281229091
2012,491934.4262295082,708.24,2013,42787,-0.4127578612528902,60.9,-0.6174260680213554
2013,392639.34426229505,798.49,2014,48520,-0.609984586471739,60.5,1.0184459106640569
2014,438278.68852459016,699.27,2015,20719,-0.1535826745821418,60.9,-0.01780333102890195
2015,424168.8524590164,849.66,2016,7771,-0.3674696805318543,62.599999999999994,1.0313223150684687
2016,454750,829.53,2017,8375,-0.4884817386761589,57.1,0.26151360649213584
2017,359465.5737704918,848.72,2018,15320,-0.1007614768870605,47.4,1.842435402213613
2018,483742.62295081967,943.06,2019,75818,-0.03060893809369277,57.3,2.187630208553343
2019,453836.0655737705,864.17,2020,19958,-0.1223611795566594,64.1,-1.4585356107804448
2020,573557.3770491803,740.05,2021,15789,-0.8022097746647933,84.4,-0.22346771889139175
2021,469401.6393442623,717.22,2022,18486,-1.2540293699470473,62.2,0.8833343192469618
2022,483429.5081967213,680.51,2023,18560,-1.6445081867020497,115,-0.4450869413856983
2023,475732.7868852459,NA,NA,NA,-0.98799208583229,60.6,-0.22736194722412564
