Year,sum,id
2000,2839454.354,N Pacific
2001,2716142.721,N Pacific
2002,2813583.425,N Pacific
2003,2848431.196,N Pacific
2004,2914811.407,N Pacific
2005,2995943.659,N Pacific
2006,2875870.5386508987,N Pacific
2007,3087684.223,N Pacific
2008,3083805.326,N Pacific
2009,3014869.2600000002,N Pacific
2010,3177015.37,N Pacific
2011,3073099.188,N Pacific
2012,3107098.373,N Pacific
2013,3114490.782,N Pacific
2014,3256018.4,N Pacific
2015,3222922.492,N Pacific
2016,3354594.669,N Pacific
2017,3257716.2939999998,N Pacific
2018,3017489.923,N Pacific
2019,3525450.225,N Pacific
2020,3215999.428,N Pacific
2021,3305286.0692,N Pacific
2022,2970483.054,N Pacific
