Year,sum,id
2000,1370461.454,N Pacific
2001,1368424.563,N Pacific
2002,1451904.899,N Pacific
2003,1358765.297,N Pacific
2004,1419305.392,N Pacific
2005,1244010.796,N Pacific
2006,1305719.28,N Pacific
2007,1425977.753,N Pacific
2008,1387917.342,N Pacific
2009,1333956.149,N Pacific
2010,1444514.169,N Pacific
2011,1383925.753,N Pacific
2012,1336568.919,N Pacific
2013,1254192.188,N Pacific
2014,1508701.9239999999,N Pacific
2015,1363878.918,N Pacific
2016,1226929.152,N Pacific
2017,1248387.524,N Pacific
2018,1436444.472,N Pacific
2019,1356794.83,N Pacific
2020,1278101.3499999999,N Pacific
2021,1226564.6469999999,N Pacific
2022,1398793.869,N Pacific
