Year,1,2,3
2002,25973.165118085406,9597.12259495238,1018.7421802181592
2003,39391.91480239332,14555.370278890203,1545.0641069853687
2004,16193.616420881266,5983.565011821231,635.1601748659441
2005,12370.831400606326,4571.0403415730125,485.2195600677701
2006,9421.843192687058,3481.384874717212,369.55176745510084
2007,45264.17993657611,16725.180856330175,1775.3912218525086
2008,6243.339616374109,2306.923142707149,244.88172248974695
2009,48128.923232265086,17783.70770459062,1887.754686896028
2010,21658.095037377956,8002.697873048747,849.4927305716427
2011,27158.941110840165,10035.26856294974,1065.2517224559742
2012,20531.251014271827,7586.327354247069,805.2946695480518
2013,14955.358478523036,5526.026886492384,586.5921397367906
2014,48936.657625246204,18082.166747158422,1919.4363511368563
2015,44197.72923065127,16331.125756780235,1733.56196029314
2016,36991.281718049504,13668.332834235302,1450.904378237279
2017,18223.797411530468,6733.719864671083,714.7897078569503
2018,131519.2707000846,48596.56336718669,5158.563770127951
2019,38929.11946774637,14384.366724152618,1526.9119439328672
2020,32092.308971847295,11858.15522126909,1258.7525879720163
2021,17466.828508569295,6454.018745101852,685.0992120296609
2022,18290.035414186514,6758.194903775663,717.3877526825356
